VWAP at time: 20:00
Symbol  VWAP
--------------
TTTN   25.5000
PPLC   35.5900
MSBF   18.0000
TAPR   24.2400
LEJU   1.5700
CKX   10.2700
SENEB   28.3600
KFFB   7.3660
USLM   69.8104
WRLSW   0.2513
PRB   24.4380
NTIP   2.6200
GLADN   25.2500
PWZ   25.7200
MFAC+   0.3400
DYNC   96.4983
ZB-H   25.2750
VFMO   73.7200
WSTG   10.6400
HDMV   32.6400
CRUSC   100.0200
FIDI   20.8200
PEB-F   24.1200
SB-D   19.5900
FFSG   24.8200
GFED   21.8055
FPEI   18.6600
AGFSW   0.1002
WHFBZ   25.5000
GSAH   9.8800
KTH   30.5600
MXE   11.1300
OSBCP   10.5000
SOL   1.7347
SUB   105.5980
JPHY   49.5200
FLTW   23.5000
KOMP   29.5100
AXJV   35.1300
LSAF   22.9800
MICR   2.5150
NUMG   28.6000
FTV-A   977.5300
DWLV   29.5800
VAMO   22.2468
LMHA   26.3900
SPAQ   9.7600
PEI-B   19.5000
PXJ   6.9443
STPP   29.5000
TDA   22.1400
LTS-A   23.9545
DMRI   47.0300
NTP   8.6001
JKG   179.0829
NTC   11.6300
CMSA   25.0154
FINZ   8.0108
ALP-Q   25.0152
BDCS   19.1979
CSSEP   24.7567
ISRA   30.8000
LXP-C   49.5879
ODC   26.2602
KTN   30.0000
BRAC   10.1500
FLKR   22.6300
TY-   52.2500
DGSE   0.4891
IEME   25.0900
PSMG   13.6400
CLNY-E   25.3419
GSSC   42.5531
BRG-C   25.0800
AFC   25.3900
CMRE-E   23.2058
LYL   1.3900
CPE-A   51.5056
MMDMW   0.2705
IDHD   26.9500
NMT   12.4650
AGT   23.8000
ULVM   49.0000
NS-A   23.2000
OUSM   25.6000
OFED   26.8863
SIF   3.1550
FIV   8.9247
AADR   43.5600
RGI   114.5900
SYG   78.0500
PAGG   25.6344
FLEE   22.3500
MZA   12.8600
TWO-E   23.8900
KURE   18.3077
CDOR   8.2154
CSA   44.3000
LDRI   24.6700
CLNY-B   25.0427
UBG   33.2884
TAXF   50.1000
DHF   2.9459
AGGP   18.9653
FIBR   97.2650
CMFNL   25.1900
ARKR   18.6093
CN   31.3396
GDVD   25.7000
ARNC-   87.1615
NEON   2.5003
WPG-I   15.2700
ESGL   30.0600
PBB   24.9103
FEUZ   37.4701
MDLX   21.6000
MCI   15.1401
FLJP   24.0175
DMRS   52.1900
ENTR   15.6500
GYLD   16.5470
CNXT   22.1000
KIM-K   23.3900
ABR-B   25.6800
KIQ   0.6097
OEUR   22.9467
HDG   44.3967
LDRS   21.3615
IBND   33.3927
PUK-   26.0400
FCA   25.6400
GJS   20.1000
GRI   45.3400
HUSE   34.5300
CVY   21.4615
GAB-D   25.6500
FLM   49.0120
PEK   34.2200
MS-E   28.0837
ERM   19.9200
RFV   65.5400
INN-D   23.7500
SSW-D   23.2800
ARI-C   25.2112
NCZ-A   23.8800
HGSD   24.3400
CMCT   17.6497
SKOR   49.7100
HECO   39.8900
LEAD   32.0635
TLEH   28.2800
AGMH   27.0307
TWN   16.0460
JJN   49.4300
DBLV   63.0900
RGT   9.5433
ICAN   27.4100
WFC-L   1293.5135
PRNT   21.8900
LQDH   93.1000
NDRAW   0.7800
DJCI   14.9500
SSNT   2.2744
RJA   5.7500
PPLN   17.1200
RILYZ   24.4721
TOO-E   18.6148
PRE-I   24.9410
MBG   25.5277
FLTB   49.4710
TBLU   27.3900
MOTI   30.7563
DVHL   17.5123
EURL   24.0851
STN   23.6000
MNE   12.7273
JHME   25.7500
DDBI   26.8400
GIGB   48.2400
GRNB   25.7100
TYBS   20.4583
JHI   15.3800
APT   4.0988
CFFAU   10.0890
IDOG   25.8917
RWUI   51.1400
RWED   52.2200
DGT   80.7400
SSPY   43.1900
FEUL   76.6900
HYGH   88.5300
UBR   84.6306
SEB   3836.3600
CRD.B   9.4600
DQML   24.1300
KNOW   37.4239
DIVB   25.3600
FEU   31.1442
ESP   26.4000
EUDG   23.6750
JUST   38.4510
IFRA   24.9400
FXA   72.4286
FQAL   31.8825
HMLP-A   25.1270
TMCX   10.0923
JKF   101.3488
SPDN   29.8290
