VWAP at time: 08:00
Symbol  VWAP
--------------
HEAR   14.5300
EWY   64.0300
CBS   50.3650
VTR   63.5600
MPC   64.5200
GORO   4.5000
TLP   40.9100
MYSZ   0.7901
OIIM   1.5500
ARLO   7.1200
GPOR   8.4600
BB   8.0000
LPL   8.9700
NAT   2.0100
TSN   60.6100
SESN   0.7100
EHTH   57.6300
ALT   3.1400
SIMO   35.9000
PACB   7.1178
VRSN   165.2600
RIG   8.5796
GRUB   77.9650
INFY   10.4589
CNI   83.3300
VEEV   106.1700
COLM   88.2400
OFG   19.3200
STZ   169.0000
GNW   4.7500
ETN   70.6400
CFFN   13.1200
DBX   23.6000
TSS   86.5142
SNE   48.7600
EXAS   85.9400
CBAT   1.1200
FIVE   125.0500
PSQ   32.5105
RGS   18.2100
EKSO   2.2044
XLI   71.0100
MUX   1.8287
AUO   3.9840
FBP   10.4500
SUZ   26.2900
RWLK   0.2844
MCK   125.9400
MNGA   0.2400
DFS   67.2488
ATTU   24.7042
CLNC   15.3100
BGR   11.5800
BNCL   15.3400
OILD   28.6189
MIK   14.6700
XNET   3.3900
GFI   4.0000
NSPR+B   0.0050
AMGN   187.6732
MELI   351.4500
T   29.8506
AABA   65.8783
GDXJ   31.8075
GS   200.9085
SYMC   20.4749
HFC   54.1600
AU   13.8212
MO   46.2927
BZUN   34.4978
NUS   63.3000
RDS.A   59.7355
BVN   15.8000
AVAV   77.0020
CETV   3.0591
AVP   1.8633
DXD   31.0772
WMT   96.6100
DGAZ   89.3488
YUMC   35.3600
GOGL   5.0000
AA   28.9500
TBLT   2.7450
WB   58.4998
CARS   26.8550
ZSL   35.5000
TROV   0.6800
OSK   76.5986
MDGS   2.5000
YY   67.5072
OHI   39.5200
PEP   108.9000
DEUR   29.5200
FCX   10.6310
WDC   43.2295
GGB   4.3580
ABT   69.1800
LUV   56.7500
JNPR   24.8239
SBS   11.7290
MS   42.3600
SVXY   46.4366
MKSI   75.8600
CMCSA   35.8726
SPR   82.6000
LABD   28.4130
GD   181.5514
PNC   124.3300
WFC   50.0305
SMG   71.9700
IVZ   18.4945
HA   31.5232
OCX   5.4643
LYG   3.0000
CUK   56.2349
ADBE   239.8922
HOG   34.5500
COHR   113.4056
BRZU   37.8383
RDS.B   61.0993
CGNX   44.0000
YANG   52.3826
UGLD   101.0058
AWSM   2.7450
TOT   53.8990
KLAC   102.8400
MOMO   29.3473
AGI   4.4000
HL   2.6000
VYGR   11.2734
CZR   8.8761
SOXL   102.3609
RACE   111.1500
AGNC   18.0203
UAA   21.1136
AZUL   28.4840
INDA   32.0146
KNSA   18.8500
DAVA   21.9800
SYK   172.0113
SLAB   80.7852
OSTK   17.6100
IAU   12.5602
CTL   15.0325
SIG   24.4957
AMZN   1620.3058
ERJ   21.1165
EYEN   4.2658
AXSM   8.1960
ROKU   43.4836
ZYNE   5.2330
SOXS   9.4823
DQ   34.0200
JDST   41.9680
TIS   1.2109
FTI   23.0083
NUGT   19.3234
AGEN   3.3700
HPQ   21.9800
IR   97.9277
MRK   73.3486
SPNS   12.1300
GOOGL   1077.6323
NBEV   6.9257
CVNA   38.0000
ABIL   2.0500
EA   87.9833
FSS   19.3988
NVO   46.5320
STAF   2.5276
QLD   74.4913
BAC   29.4785
BAK   28.1624
XLK   65.2700
INTC   46.5269
LABU   44.3327
TNA   54.5400
UVXY   59.1857
KTOV   1.2200
GDX   21.9765
CGIX   0.2558
PANW   206.4933
IQ   19.3671
IZEA   1.7182
AKS   2.7877
AGN   142.8078
EDC   77.6135
ETFC   47.2100
AVGO   270.0000
DWT   9.4508
UXIN   3.5979
CAT   127.7028
YUMA   0.1248
JMEI   2.5000
CHKP   111.8984
MMM   198.5632
FXF   93.3850
TGE   24.6389
HMNY   0.0125
DB   9.1712
IGLD   0.6160
CRON   18.2053
GOL   12.8825
ADM   44.6900
FCAU   16.8269
CLD   0.3897
EEM   42.1385
SBUX   67.0800
SKT   22.8900
LFC   11.9594
BABA   160.4657
BOTZ   18.0401
RIOT   1.7913
GUSH   11.3423
VZ   53.1422
PAYX   70.3975
CBD   26.1564
SDOW   15.8395
LMT   295.4095
PLUG   1.4402
RBZ   1.3134
BT   15.3600
SFS   6.2400
NVCN   0.7356
ATVI   46.2519
SID   2.7370
ITUB   10.2700
CLF   9.7058
JVA   5.9200
BHP   49.8609
APLE   15.9300
RYAAY   70.9158
CODX   2.2384
USO   11.3211
ESTC   81.3077
AST   1.1453
ASIX   30.4000
RWT   15.7469
TUP   32.7598
SNN   37.6217
SJR   19.9900
DFEN   41.9950
BRK.B   203.7716
CIEN   38.8197
UCO   17.8348
XLNX   110.9279
DEO   144.7800
DTEA   1.5200
FHB   26.2719
SHOP   158.5400
RMD   92.9179
ADP   137.6066
PCG   13.7618
ANTM   291.5638
WPP   58.0500
GILD   69.3195
CRMD   1.8777
MYGN   27.5000
HUYA   20.3279
UGAZ   38.7675
JD   23.9404
ERIC   8.8243
NKE   80.4582
FMS   36.0006
AZN   36.0819
QID   42.1663
PFE   40.8075
NTES   240.3521
PG   93.3621
BIIB   323.3500
VOO   242.8200
SRPT   117.6323
INCY   79.2000
SIRI   5.8747
TAK   20.3600
SPXL   38.4685
IBM   134.0556
CSCO   45.8020
LRCX   167.8773
BBL   43.6342
MCD   182.0120
LIN   161.2383
VGR   10.4000
UTX   118.7681
XLV   88.0600
PDD   30.1601
YEXT   15.7849
IVV   266.3300
NNDM   1.1000
INPX   2.3261
STM   16.0538
FNV   76.5800
AVCO   5.9414
CPHI   0.2760
YNDX   32.7200
XOM   72.2026
DIS   109.5604
UL   52.9653
BUD   74.2567
KL   30.2081
KO   47.4303
MTCH   52.1400
GLPG   102.6700
ABEV   4.8300
USAS   1.6896
CANF   1.3290
CONN   20.7500
MSFT   104.4342
HD   180.4923
SQ   70.1475
AMAT   38.5506
BCS   8.4598
SRTY   29.2510
ZUO   21.1550
UDOW   84.7572
PRGO   46.0655
VIV   13.0560
KNL   19.1367
ABB   19.1228
FRSX   1.9700
BKNG   1820.0362
SCO   20.8902
DWDP   58.6966
FIT   6.0200
ABBV   77.7195
DUST   20.2203
TER   36.9143
EURN   7.8100
IBN   10.4293
DIA   247.9648
TRVN   1.0613
SSO   103.5541
GE   8.9751
IPCI   0.3650
CNHI   9.9950
WHR   134.5214
PFSI   18.9765
EWZ   44.2308
XBI   80.3607
KOLD   19.2020
ORAN   15.2988
SILV   3.6000
ILMN   276.7275
HYGS   7.3200
TI   5.1970
VIXY   31.4100
DSLV   25.9175
ASML   174.7779
DRIP   11.0873
OTIV   0.7860
SPXS   25.7749
BA   386.4864
NVS   84.9657
CRM   147.4800
ISR   0.4450
F   8.6822
TMO   242.9000
SLV   14.9574
TSLA   298.9325
TZA   11.3957
TWTR   31.9596
TWM   17.0319
PYPL   91.7733
SNY   42.3702
HXL   67.9400
GWPH   137.0000
EGHT   17.4546
SAN   4.8063
UPRO   40.6211
MLNX   91.5918
TLRY   78.5145
IRM   36.5900
CGC   47.6250
TPR   37.9000
ZXZZT   10.0000
TAHO   3.6980
GOOS   50.1739
TEVA   19.8262
SLB   44.2500
PAAS   14.4180
UPS   102.1900
TME   15.6287
CS   12.3803
JNJ   130.5625
TTD   136.3500
JNUG   10.4573
ZVZZT   10.0123
TEF   8.7100
CHK   2.8620
GLD   124.0008
FCEL   0.5100
IFF   139.0971
AGQ   27.6659
V   135.9851
SH   29.6924
ING   12.0700
LPCN   1.7600
SPXU   38.8877
FTR   1.8752
PHG   37.6789
ERX   19.7300
TTWO   103.0500
SAP   102.0849
FRO   5.2484
FXI   42.1378
OKTA   78.6000
CCL   56.9060
GRIN   6.7500
XOP   30.4600
RNN   0.6544
CEF   12.8900
TQQQ   42.9292
NVDA   134.3944
SNAP   6.4887
MU   38.3510
BP   40.4209
UNG   25.6147
RTN   173.1125
NFLX   332.4087
GOLD   12.9289
BSBR   12.8763
DPW   0.0945
NIO   6.8606
IBB   107.3252
EBAY   33.8081
BILI   18.0160
RDHL   8.7897
SDS   38.2322
VXXB   38.2328
BIDU   167.1942
EAT   43.0000
HMY   1.9700
TLT   120.8524
BBVA   6.0400
UNH   269.0906
TRGP   42.5700
BOIL   24.9217
GSK   39.2987
VOD   17.8140
BTX   1.5948
MT   23.2192
NOK   6.4690
PBR   15.8882
AEG   5.2200
OILU   20.7763
HSBC   42.4747
RIO   55.3868
FB   145.5674
GME   11.3487
TKC   6.9071
EQNR   22.5000
TAL   30.6000
YINN   21.4599
CLR   45.6500
DRD   2.1818
TGTX   4.4374
VIPS   7.4193
TBT   35.5200
KKR   22.6500
MA   200.3429
UWT   13.7343
ACB   6.9055
QQQ   162.8999
RCL   117.2357
VALE   12.2608
GDEN   18.1000
ALGN   207.7257
ORGO   15.1419
ACIU   5.5829
TECL   97.0500
DDD   12.6000
GOOG   1067.5892
WDAY   167.0000
EBR   9.8185
NGG   54.0222
MYL   28.7600
ENVA   21.9914
USLV   79.2929
SBGL   3.2887
ZNGA   4.5101
SPY   264.5654
BTI   33.9886
IWM   146.7671
DISCA   27.2500
SHW   409.9800
RGSE   0.5070
JPM   104.6281
AMD   21.1383
TWLO   101.5033
BX   33.2498
XLE   62.5500
TVIX   46.0030
SQQQ   13.8449
QCOM   49.8299
PULM   0.1936
AAPL   162.3528
