VWAP at time: 13:00
Symbol  VWAP
--------------
CIO-A   22.0000
LRGE   30.6900
JHY   10.0000
IZRL   20.7800
PSB-X   22.4300
IGEB   48.1600
TDTF   24.1800
CHGX   18.9800
DDLS   29.1100
ACES   25.0600
IHY   23.9700
USMF   27.7700
FILL   19.7712
MCN   6.6783
CNYA   24.5500
VMM   12.1683
RHE-A   3.7500
FIHD   153.8500
GMF   92.4550
EMDV   56.4700
HYGV   47.4500
TUZ   50.1800
IPAC   53.8276
CZA   63.9600
LOAC   9.9500
MFO   25.5800
CNACR   0.1410
FDNI   20.2850
VIOG   149.0800
IQDG   26.9800
FLIN   21.1600
WIL   64.4500
AUSF   23.8000
DGZ   14.0200
WILC   8.1400
DFP   22.4700
AAAU   13.1000
AEF   7.0138
IVR-A   24.9780
CEL   5.0700
FEO   13.3600
DJPY   23.0300
UMH-B   26.0400
EELV   24.0900
TCTL   29.0300
MFCB   6.7600
MIND   3.9500
MCX   24.8800
AUG   1.0292
PY   30.3000
JPXN   57.8100
LGI   14.5200
FVAL   32.0290
NYMTP   23.0401
GS-A   19.1100
SVT   11.4600
MVCD   25.2550
BML-H   19.3520
MUJ   12.9500
SUSC   24.3000
NXN   13.0950
RIVE   12.6000
DL   7.1100
NUBD   24.3700
LGLV   93.4100
RFDA   30.3353
PXMV   30.1443
DVP   31.8300
PBTP   24.5000
CODI-B   20.2900
SSWN   25.1500
XYF   5.3600
GDV-A   25.7200
GLOG-A   25.8300
YLDE   27.4900
DVOL   19.0536
FGB   6.1000
DD-B   99.9840
NEE-K   24.3900
BKTI   4.0700
KIM-M   21.9800
CBND   31.1894
HCCHR   0.2900
DTEC   26.5750
TMK-C   26.2900
MDLQ   22.3885
SPRT   2.5000
PYS   15.6000
ENJ   24.0200
VNRX   2.5457
PSR   83.8300
STNLU   10.1600
KBA   26.6100
GSIE   27.1223
NHA   9.6485
MYC   13.2374
AFTY   14.5200
TPGH+   1.2500
IHC   36.1700
VBF   17.6084
WBIG   23.3400
MMD   19.6302
USWSW   0.6700
PGP   13.6084
ZB-G   26.8400
BFS-D   22.4200
YMLI   12.3300
EMP   23.7998
JHMU   28.7755
FDTS   36.1800
JHS   13.4200
SDR   1.0000
QEMM   58.1900
BSCR   19.1450
JJS   41.7900
DAUD   28.4500
JHMT   42.7300
TSQ   6.1115
NRP   38.2000
UYM   54.5200
FDM   44.5700
LDP   23.2263
PBJ   31.1329
SBB   33.9200
TCI   30.6600
WYY   0.4399
BSJN   25.5495
AHT-F   21.1533
VEGI   28.2089
MVC   8.8000
ULST   40.2950
NYF   54.9350
PLYM   15.5739
HUSV   23.3700
WIA   10.9231
UMDD   90.8333
AMH-G   22.4507
EGIF   14.0400
HYMB   55.7450
EMIF   29.6500
WEAT   6.0100
NAII   11.0686
ANH-C   24.6900
POPE   69.9960
KKR-A   26.8400
ECCA   25.4900
AMS   2.5161
FCOR   48.3900
QTS-A   25.4800
ADRD   20.5900
STT-D   26.4800
GLOP-A   23.1321
GAL   36.4350
WHLRP   10.2766
FLTR   25.0150
SSW-I   23.2600
BSJM   24.0550
BMLP   46.8337
RZG   113.3250
OMFL   26.4462
PMM   7.1100
DNI   10.8583
MNR-C   23.3367
IBDT   25.3500
STI-A   22.0059
GQRE   61.3536
FXB   126.6886
PTVCA   17.9000
DLR-J   22.9200
MSD   8.8350
DALI   18.5500
FONE   45.6200
BML-L   21.2843
FLC   18.3175
IYY   133.0000
CODI-A   19.4838
FOF   12.0600
BAC-A   25.7961
EMX   1.1400
EWX   43.2501
AMRB   13.7611
FCAL   49.9700
ELU   22.9881
HAO   23.9296
EOD   5.1240
BSCJ   21.0800
GDXS   13.2920
FRC-D   24.1344
ROSEW   0.4200
USVM   49.6000
FLMNW   0.7995
PNF   12.5850
AKP   13.7620
WFE-A   25.7167
NES   13.2600
IPB   25.7500
SPE   12.7629
TCO-J   24.7658
ADRA   30.2500
SMLV   89.3868
GXG   8.8538
CRHM   3.1900
ACU   17.1100
CIM-A   25.2548
GLDM   13.0919
RETO   1.7933
PSB-U   23.8290
GIG+   0.2160
LSBK   15.3957
PSB-V   24.7305
SPFF   11.5180
RCD   98.1100
TVC   25.3137
DCP-B   23.9200
GS-B   26.3492
GDV-G   24.6233
PIY   10.3600
BSJL   24.3259
WIW   10.4883
STND   31.2000
USEQ   26.1400
CIZN   21.5652
