VWAP at time: 12:00
Symbol  VWAP
--------------
PSR   83.8300
STNLU   10.1600
KBA   26.6100
GSIE   27.0800
NHA   9.6400
MYC   13.3000
AFTY   14.5200
IHC   36.1700
VBF   17.6100
WBIG   23.3400
MMD   19.7100
USWSW   0.6700
PGP   13.5995
ZB-G   26.8400
BFS-D   22.4200
YMLI   12.3300
EMP   23.7674
JHMU   28.7900
FDTS   36.1800
SDR   1.0000
QEMM   58.1900
BSCR   19.1500
JJS   41.7900
DAUD   28.4500
JHMT   42.7300
TSQ   6.1101
NRP   38.2000
UYM   54.5200
LDP   23.2045
PBJ   31.1630
SBB   33.9200
TCI   30.6600
WYY   0.4399
AHT-F   21.1533
VEGI   28.1500
MVC   8.8100
ULST   40.2950
NYF   54.9400
PLYM   15.5674
HUSV   23.3700
WIA   10.9100
UMDD   90.8333
AMH-G   22.4500
EGIF   14.0400
HYMB   55.7400
EMIF   29.6500
WEAT   6.0100
NAII   11.0400
ANH-C   24.6900
POPE   70.1200
KKR-A   26.8400
ECCA   25.4900
AMS   2.5161
FCOR   48.3900
QTS-A   25.4800
ADRD   20.5900
STT-D   26.4800
GLOP-A   23.5500
GAL   36.4350
WHLRP   10.2462
FLTR   25.0150
SSW-I   23.2600
BSJM   24.0500
BMLP   46.6600
RZG   113.3250
OMFL   26.4462
PMM   7.1150
DNI   10.8435
MNR-C   23.3660
IBDT   25.3500
STI-A   22.0059
GQRE   61.3536
FXB   126.6948
PTVCA   17.9000
DLR-J   22.9200
MSD   8.8300
DALI   18.5500
FONE   45.6200
BML-L   21.2600
FLC   18.3153
IYY   133.0000
CODI-A   19.4838
BAC-A   25.7708
EMX   1.1400
EWX   43.2500
AMRB   13.7611
FCAL   49.9700
ELU   22.9878
HAO   23.9300
EOD   5.1240
BSCJ   21.0800
GDXS   13.2000
FRC-D   24.1156
ROSEW   0.4200
USVM   49.6000
FLMNW   0.7995
PNF   12.5850
AKP   13.7620
WFE-A   25.7200
NES   13.2600
IPB   25.7500
SPE   12.7629
TCO-J   24.7658
ADRA   30.2500
SMLV   89.3868
GXG   8.8538
CRHM   3.1900
ACU   17.1100
CIM-A   25.2490
GLDM   13.1000
RETO   1.8800
PSB-U   23.8636
GIG+   0.2200
LSBK   15.3957
PSB-V   24.7309
SPFF   11.5000
RCD   98.1100
TVC   25.3100
DCP-B   23.9200
GS-B   26.3488
GDV-G   24.6233
PIY   10.3600
BSJL   24.3222
WIW   10.5131
STND   31.2000
USEQ   26.1400
CIZN   21.5483
TANNI   25.2728
JHX   10.8900
IRET-C   23.7400
THST   2.1400
CSPI   10.0000
LDUR   98.9800
BLES   26.6000
PCEF   21.4925
PNC-Q   24.8800
LTL   34.8900
TAWK   24.2400
RWGV   50.7700
RWLS   51.1800
PFIN   7.8200
CEY   24.5417
MMTM   114.8214
PWS   24.0000
AVH   4.6200
RF-B   26.4600
FRAK   12.5000
IMTB   48.4900
PCG-C   16.6400
NC   33.9655
LTPZ   62.5700
EHT   9.4800
FTAG   23.7054
GTO   50.6850
SSW-H   23.2500
MET-A   23.0200
MAGA   25.5000
PIHPP   22.1000
NNVC   0.3100
SIJ   16.4000
IQDY   23.6200
DOD   23.8000
SSG   17.5480
SHYD   24.3500
DEF   46.8600
PZN   8.3642
GGZ   11.1400
PPX   25.1700
DSS   0.9805
IAF   5.1792
USHY   47.6400
CMSC   25.5052
ZF   9.1929
GHII   25.6000
NEWTI   25.5921
TVE   24.9600
DNN   0.5179
HEWP   20.9500
NOM   12.3153
GS-D   19.0674
GIG^   0.2400
MHH   7.9900
DLNG-A   20.8500
SNV-D   25.1100
